A, 35.96874999999533, -75.73124999999567
A, 36.01041666666533, -75.83958333333766
A, 36.04375000000133, -75.76041666666467
C, 36.09791666667233, -75.77708333333267
C, 36.077083333337335, -75.85208333333867
C, 35.97291666666233, -75.78958333333367
E, 36.06458333333633, -75.84791666667167
E, 36.106250000006334, -75.77291666666567
E, 36.08958333333833, -75.85208333333867
E, 35.95208333332733, -75.78124999999966
F, 35.98541666666333, -75.79791666666766
F, 36.04791666666833, -75.86041666667266
F, 36.06458333333633, -75.81875000000267
F, 36.06041666666933, -75.80208333333466
